6.05 14.05
94.61 3400.19
0.01 8.01
7.22 36.09
92.04 3325.86
125.39 309.39
3108.71 3292.71
233.64 1442.75
0.62 1.62
7.4 32.97
11.25 272.01
4.78 68.65
1.04 185.04
0.01 47.01
378.97 562.97
0.0 8.0
0.01 3.08
3.62 914.79
170.61 1945.38
0.0 0.01
19.54 910.72
529.35 713.35
0.0 0.0
65.65 539.23
82.45 356.31
50.57 234.57
3210.54 3394.54
1.44 9.44
5.71 13.71
160.51 350.77
116.76 163.76
0.0 8.0
597.36 10000.0
28.17 110.9
1.76 6.12
8.54 29.54
9.31 293.06
34.48 283.55
592.11 10000.0
310.82 494.82
1996.02 10000.0
0.88 1.88
46.67 129.95
0.02 9.21
24.4 156.28
41.8 409.83
375.67 1135.47
101.67 515.67
573.55 2544.93
866.55 1811.06
122.57 926.71
2.45 100.07
331.37 588.95
293.91 2698.7
168.15 901.97
4.31 52.27
35.7 580.49
5.63 13.63
51.35 98.61
1145.9 1329.9
10000 10000.0
0.0 0.0
306.81 657.95
139.23 373.58
489.94 673.94
82.72 138.58
2.57 14.22
35.27 258.05
220.76 892.02
1.79 76.38
6.45 88.57
109.59 323.17
1214.57 4449.86
78.87 956.72
22.28 69.28
43.72 121.64
640.65 824.65
48.12 876.53
3.15 7.84
149.98 333.98
0.01 3.24
10000 10000.0
56.0 4464.41
3.83 120.64
17.82 275.35
0.01 8.01
34.57 98.27
0.01 1.8
1.24 19.1
528.21 712.21
0.01 51.35
0.01 1.01
15.78 62.78
0.01 3.02
44.59 487.81
0.01 1.91
46.57 237.87
62.09 246.09
7.57 66.66
357.36 1312.03
0.01 10.06
228.23 453.07
1209.87 1681.27
5.24 15.44
879.18 10000.0
2651.75 10000.0
2.44 63.68
1.05 185.05
10.99 513.26
145.55 329.55
8.24 19.94
10000 10000.0
66.24 289.97
21.89 96.92
1216.41 1905.85
6.19 136.93
29.21 117.48
163.72 347.72
1843.23 2707.79
0.71 1.71
1752.69 1936.69
99.99 380.67
223.52 407.52
68.73 641.82
1361.47 1629.32
24.59 71.59
109.69 10000.0
0.01 5.8
0.0 0.01
188.88 389.75
4.95 1864.2
10000 10000.0
0.01 2.99
3.34 937.81
103.77 179.75
1168.08 2426.33
33.06 110.75
447.22 631.22
6.74 14.74
1503.62 1687.62
378.41 610.48
260.65 1361.95
0.93 1.93
18.07 426.98
229.58 413.58
235.38 546.51
0.01 3.33
5.74 13.74
1.13 185.13
47.13 127.53
5.92 120.94
1438.29 2523.89
22.82 101.37
366.22 550.22
74.54 303.44
263.55 543.89
10.07 145.29
646.52 1231.41
0.01 0.01
492.21 1954.59
4.98 337.01
461.53 645.53
904.79 2047.69
0.01 8.01
223.74 1257.7
15.68 63.18
428.69 664.93
821.49 3646.88
159.99 3372.78
0.01 8.01
0.01 8.01
48.91 3705.59
462.77 646.77
70.5 666.65
2.2 50.88
0.98 8.98
82.17 266.17
228.19 412.19
76.24 1806.17
23.34 44.34
1274.67 4228.01
202.85 408.6
2.99 18.84
3.81 162.39
446.7 3370.43
8.89 57.28
45.2 180.46
38.22 429.04
16.48 37.48
1025.61 1209.61
1.1 57.27
0.01 48.87
15.89 10000.0
39.75 86.75
3.73 54.68
82.07 266.07
1188.28 1791.79
109.93 156.93
16.15 135.82
48.0 232.0
682.21 866.21
33.09 95.07
248.61 499.82
4.4 68.12
329.75 513.75
44.44 10000.0
20.14 97.27
1.08 24.05
60.52 305.89
19.17 109.15
180.49 364.49
64.87 315.95
0.0 0.01
0.01 3.33
1310.93 3057.28
980.28 10000.0
1.35 10.55
0.55 1.78
50.36 97.36
81.94 557.34
2334.46 2518.46
10.35 69.88
462.67 3075.2
18.02 333.56
0.01 47.01
0.01 8.01
152.61 3927.25
2.73 73.78
49.83 96.83
336.39 520.39
413.75 597.75
15.38 92.17
0.0 0.13
964.9 1148.9
933.59 10000.0
10.79 10000.0
63.98 487.66
0.0 0.9
27.26 74.26
1022.42 10000.0
0.01 0.01
678.9 2369.05
1401.26 1585.26
493.7 677.7
0.01 8.01
74.43 349.64
0.01 3.07
1028.2 10000.0
2665.13 2849.13
86.95 270.95
5.31 58.27
0.0 1.47
370.94 554.94
0.74 1.74
70.86 254.86
1482.26 2998.53
527.67 10000.0
58.23 242.23
0.0 1.57
433.11 617.11
99.8 371.58
424.06 608.06
181.07 3447.07
62.13 246.13
3.57 50.57
3.67 3832.57
58.0 242.0
427.4 10000.0
4.43 12.43
29.77 351.07
1.89 63.47
0.01 5.61
0.0 0.01
31.19 117.61
116.29 500.98
132.67 10000.0
