,Solvers/MetaVC-Generic
Instances/MinVC_test/frb30-15-3.mis,420.0
Instances/MinVC_test/frb30-15-1.mis,420.0
Instances/MinVC_test/frb30-15-4.mis,420.0
Instances/MinVC_test/frb30-15-2.mis,420.0
Instances/MinVC_test/frb30-15-5.mis,420.0
